No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32000588,8.4,0,0,8.25,7.75,0,0,0,0,24.4,16.65,16.15,8.4
'32001416,8.4,5.5,2.6,7.5,8.5,3.75,0,0,0,24.4,18.5,20.65,16.5
'32002834,8.4,7.25,6.6,7.5,8.5,6.75,0,0,0,24.4,22.5,23.65,22.25
'32001533,8.4,6,2.8,8.25,7.75,3.75,0,0,0,24.4,19.45,19.9,17.2
'32001426,8.4,7,5.4,8.25,7.75,5,0,0,0,24.4,22.05,21.15,20.8
'32002335,8.6,5.75,5.2,7.75,8,4.5,0,0,0,24.35,21.55,21.1,19.55
'32000518,8.6,6,6,8,7.75,6.5,0,0,0,24.35,22.6,22.85,20.6
'32000498,8.6,5.75,4,7,8.75,4,0,0,0,24.35,19.6,21.35,18.35
'32002366,8.6,5.75,4.4,8.25,7.5,4.5,0,0,0,24.35,21.25,20.6,18.75
'32000488,7.8,4,4.8,8.75,7.75,6.25,0,0,0,24.3,21.35,21.8,16.6
'32002503,8.8,5.75,5.2,7.75,7.75,6,0,0,0,24.3,21.75,22.55,19.75
'32002738,8.8,7.25,6.2,8,7.5,4,0,0,0,24.3,23,20.3,22.25
'32002690,9.8,7.25,9,8.75,5.75,5.5,0,0,0,24.3,27.55,21.05,26.05
'32002021,9,5.75,4.4,7,8.25,5.75,0,0,0,24.25,20.4,23,19.15
'32002318,9,6.25,5.4,7.75,7.5,5,0,0,0,24.25,22.15,21.5,20.65
'32001882,8,5,6,8,8.25,7,0,0,0,24.25,22,23.25,19
'32001947,8,6,5.8,7.5,8.75,3.5,0,0,0,24.25,21.3,20.25,19.8
'32001002,9.2,5.75,3.2,7.75,7.25,3.5,0,0,0,24.2,20.15,19.95,18.15
'32001018,9.2,6.25,2.8,7.5,7.5,5.25,0,0,0,24.2,19.5,21.95,18.25
'32001717,9.2,5.5,3.4,7,8,4.75,0,0,0,24.2,19.6,21.95,18.1
'32001922,9.2,7.5,4.6,6.5,8.5,7.5,0,0,0,24.2,20.3,25.2,21.3
'32001862,8.4,7,3.6,8,7.75,5,0,0,0,24.15,20,21.15,19
'32002282,8.4,5.25,2.8,7.25,8.5,5,0,0,0,24.15,18.45,21.9,16.45
'32002328,9.4,7,9,8.75,6,6.75,0,0,0,24.15,27.15,22.15,25.4
'32002319,8.4,6.75,5,8,7.75,7.5,0,0,0,24.15,21.4,23.65,20.15
'32002590,8.4,6,3.6,8,7.75,6.25,0,0,0,24.15,20,22.4,18
'32001532,8.4,7.5,7.8,9,6.75,6.25,0,0,0,24.15,25.2,21.4,23.7
'32002607,8.4,6,4,7.5,8.25,5.25,0,0,0,24.15,19.9,21.9,18.4
'32000197,8.6,0,0,8.25,7.25,0,0,0,0,24.1,16.85,15.85,8.6
'32000295,7.6,6.25,3.8,8.25,8.25,3.75,0,0,0,24.1,19.65,19.6,17.65
'32002440,8.6,6.5,2.8,8.5,7,3,0,0,0,24.1,19.9,18.6,17.9
'32002773,8.6,5,3.2,8,7.5,3.25,0,0,0,24.1,19.8,19.35,16.8
'32002572,9.6,6,3.2,5,9.5,9,0,0,0,24.1,17.8,28.1,18.8
'32001430,8.6,0,0,8,7.5,0,0,0,0,24.1,16.6,16.1,8.6
'32002458,8.6,7,4.4,7.5,8,6.25,0,0,0,24.1,20.5,22.85,20
'32001520,8.6,6.5,4.8,7.75,7.75,5.25,0,0,0,24.1,21.15,21.6,19.9
'32000336,8.6,4.75,5,7.5,8,4.5,0,0,0,24.1,21.1,21.1,18.35
'32002340,8.6,6.75,4.4,7.5,8,3.5,0,0,0,24.1,20.5,20.1,19.75
'32001061,8.6,7.5,8,8,7.5,6,0,0,0,24.1,24.6,22.1,24.1
'32001580,8.8,5.5,3.6,7,8.25,6,0,0,0,24.05,19.4,23.05,17.9
'32002471,8.8,8,7,6.75,8.5,7.75,0,0,0,24.05,22.55,25.05,23.8
'32000074,8.8,6.75,6.4,6,9.25,8.25,0,0,0,24.05,21.2,26.3,21.95
'32001800,8.8,7.5,5,7.25,8,6.75,0,0,0,24.05,21.05,23.55,21.3
'32000019,9,7,8,8,7,6.75,0,0,0,24,25,22.75,24
'32002582,9,5,3.6,7.25,7.75,4.25,0,0,0,24,19.85,21,17.6
'32000668,9,4.5,3.4,6.75,8.25,4.75,0,0,0,24,19.15,22,16.9
'32001929,9,0,0,6.25,8.75,8.25,0,0,0,24,15.25,26,9
