No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32001140,8.2,8.25,6.8,7.75,6,4.75,0,0,0,21.95,22.75,18.95,23.25
'32001667,8.6,8.25,6.4,0,0,0,6.5,7.5,9.25,8.6,15,8.6,23.25
'32000669,9.4,7.25,6.6,8.25,8.75,7.25,0,0,0,26.4,24.25,25.4,23.25
'32000776,8.2,8.25,6.8,0,0,0,6.75,6.75,9.75,8.2,15,8.2,23.25
'32002813,8.2,8.25,6.8,0,0,0,7,8.5,9.25,8.2,15,8.2,23.25
'32002285,8.4,7.25,7.6,8.5,5,4,0,0,0,21.9,24.5,17.4,23.25
'32001791,7.4,8,7.8,0,0,0,4.5,6.75,8.5,7.4,15.2,7.4,23.2
'32000673,8.8,7.75,6.6,7,9,8.25,0,0,0,24.8,22.4,26.05,23.15
'32002852,7.4,8.75,7,0,0,0,4,7,7.75,7.4,14.4,7.4,23.15
'32002347,9.2,5.75,8.2,8.75,3.5,5,0,0,0,21.45,26.15,17.7,23.15
'32002037,8,7.5,7.6,0,0,0,3.75,7,9.75,8,15.6,8,23.1
'32002827,8.2,7.5,7.4,0,0,0,5.5,7.25,8,8.2,15.6,8.2,23.1
'32001802,8.2,8.5,6.4,0,0,0,5.5,7.25,9,8.2,14.6,8.2,23.1
'32000572,8.2,8.5,6.4,0,0,0,7.75,8.5,9.75,8.2,14.6,8.2,23.1
'32001553,8.2,8.5,6.4,0,0,0,4.5,7.75,8.5,8.2,14.6,8.2,23.1
'32001964,8.6,8.25,6.2,0,0,0,6.5,6.5,6.75,8.6,14.8,8.6,23.05
'32002757,8.8,7,7.2,8,8,7.25,0,0,0,24.8,24,24.05,23
'32000427,7.6,8,7.4,0,0,0,5,7.5,8.25,7.6,15,7.6,23
'32002499,9.6,7,6.4,9,8,7.25,0,0,0,26.6,25,24.85,23
'32001785,8.4,8,6.6,0,0,0,4.25,7,7.75,8.4,15,8.4,23
'32001465,8.4,8,6.6,0,0,0,6.75,7.5,8.5,8.4,15,8.4,23
'32002353,7.8,7,8.2,7.5,7.25,5.75,0,0,0,22.55,23.5,20.8,23
'32000800,9,6,8,8.25,5.25,5.5,0,0,0,22.5,25.25,19.75,23
'32001083,8,8.75,6.2,0,0,0,9,8.75,8,8,14.2,8,22.95
'32002281,8.8,7.75,6.4,0,0,0,0,0,0,8.8,15.2,8.8,22.95
'32001013,8.6,8.5,5.8,6.5,8.25,8.25,0,0,0,23.35,20.9,25.1,22.9
'32001897,8.8,6.5,7.6,8.75,7.5,4.75,0,0,0,25.05,25.15,21.05,22.9
'32002439,9,7.5,6.4,7.5,4.5,5.25,0,0,0,21,22.9,18.75,22.9
'32001223,8.4,8.5,6,0,0,0,2.75,3.25,9,8.4,14.4,8.4,22.9
'32000617,8,8.25,6.6,0,0,0,5.5,7.75,9.25,8,14.6,8,22.85
'32000622,7.2,8.25,7.4,0,0,0,6,5.75,8.75,7.2,14.6,7.2,22.85
'32000204,8,8.25,6.6,0,0,0,7.75,7.75,9.25,8,14.6,8,22.85
'32002035,8.2,8.25,6.4,0,0,0,4.25,6.75,6,8.2,14.6,8.2,22.85
'32000702,8.4,9.25,5.2,0,0,0,3.75,6.25,9,8.4,13.6,8.4,22.85
'32002480,8,7,7.8,8,8.75,6.5,0,0,0,24.75,23.8,23.25,22.8
